row_id,term,dfbetas,predictor,influence_flag
1,age_per_10_years,0.08046881107721461,Age,FALSE
1,ef_per_5_points,-0.1120022166129478,Ejection fraction,FALSE
1,creatinine_per_doubling,-0.036894802278322564,Serum creatinine,FALSE
1,sodium_per_5_units,-0.08324446642435737,Serum sodium,FALSE
1,sex_groupMale,0.043791970460768326,Sex: male versus female,FALSE
2,age_per_10_years,-0.11785656011240175,Age,TRUE
2,ef_per_5_points,0.06679290015923983,Ejection fraction,FALSE
2,creatinine_per_doubling,-0.06439296595738428,Serum creatinine,FALSE
2,sodium_per_5_units,-0.004492250478758049,Serum sodium,FALSE
2,sex_groupMale,0.08539127634631476,Sex: male versus female,FALSE
3,age_per_10_years,0.002803423758980135,Age,FALSE
3,ef_per_5_points,-0.10426966926159346,Ejection fraction,FALSE
3,creatinine_per_doubling,-0.11096946029671052,Serum creatinine,FALSE
3,sodium_per_5_units,-0.12703296926621174,Serum sodium,TRUE
3,sex_groupMale,0.04857930103796268,Sex: male versus female,FALSE
4,age_per_10_years,-0.1519322937657221,Age,TRUE
4,ef_per_5_points,-0.11138830316360596,Ejection fraction,FALSE
4,creatinine_per_doubling,0.043975016855074614,Serum creatinine,FALSE
4,sodium_per_5_units,0.09023919172970421,Serum sodium,FALSE
4,sex_groupMale,0.060775476618258356,Sex: male versus female,FALSE
5,age_per_10_years,0.014628979481618393,Age,FALSE
5,ef_per_5_points,-0.06699362152769377,Ejection fraction,FALSE
5,creatinine_per_doubling,-0.05963146580414865,Serum creatinine,FALSE
5,sodium_per_5_units,-0.3406246713859168,Serum sodium,TRUE
5,sex_groupMale,-0.14574690349010916,Sex: male versus female,TRUE
6,age_per_10_years,0.17315810356104894,Age,TRUE
6,ef_per_5_points,0.06845841127121363,Ejection fraction,FALSE
6,creatinine_per_doubling,7.983946075135862e-5,Serum creatinine,FALSE
6,sodium_per_5_units,-0.07366915944664032,Serum sodium,FALSE
6,sex_groupMale,0.06496982482350988,Sex: male versus female,FALSE
7,age_per_10_years,0.08673073251263733,Age,FALSE
7,ef_per_5_points,-0.18690602995535838,Ejection fraction,TRUE
7,creatinine_per_doubling,-0.07279320085316916,Serum creatinine,FALSE
7,sodium_per_5_units,0.04098511803790338,Serum sodium,FALSE
7,sex_groupMale,0.0321851382388766,Sex: male versus female,FALSE
8,age_per_10_years,-0.09267417155975914,Age,FALSE
8,ef_per_5_points,0.3118245632869368,Ejection fraction,TRUE
8,creatinine_per_doubling,-0.08355392176002,Serum creatinine,FALSE
8,sodium_per_5_units,-0.17198812423753976,Serum sodium,TRUE
8,sex_groupMale,0.11665427744610941,Sex: male versus female,TRUE
9,age_per_10_years,-0.057543312193406464,Age,FALSE
9,ef_per_5_points,0.30350315960966373,Ejection fraction,TRUE
9,creatinine_per_doubling,0.02963024397876225,Serum creatinine,FALSE
9,sodium_per_5_units,-0.0010302823030292534,Serum sodium,FALSE
9,sex_groupMale,-0.09053478033447039,Sex: male versus female,FALSE
10,age_per_10_years,0.04322640419908555,Age,FALSE
10,ef_per_5_points,0.03676900219564886,Ejection fraction,FALSE
10,creatinine_per_doubling,0.2166645175457553,Serum creatinine,TRUE
10,sodium_per_5_units,0.034781834261335624,Serum sodium,FALSE
10,sex_groupMale,0.04766834858376486,Sex: male versus female,FALSE
11,age_per_10_years,0.035597033210823324,Age,FALSE
11,ef_per_5_points,0.07557295817797546,Ejection fraction,FALSE
11,creatinine_per_doubling,0.12831515805434246,Serum creatinine,TRUE
11,sodium_per_5_units,-0.04678879645334778,Serum sodium,FALSE
11,sex_groupMale,0.067908951945295,Sex: male versus female,FALSE
12,age_per_10_years,-0.032370297300455445,Age,FALSE
12,ef_per_5_points,-0.09857425887444522,Ejection fraction,FALSE
12,creatinine_per_doubling,-0.09015316545245233,Serum creatinine,FALSE
12,sodium_per_5_units,0.08284370272461404,Serum sodium,FALSE
12,sex_groupMale,0.057743877979037586,Sex: male versus female,FALSE
13,age_per_10_years,-0.18979546486003065,Age,TRUE
13,ef_per_5_points,-0.010602693101447624,Ejection fraction,FALSE
13,creatinine_per_doubling,-0.041043012183867016,Serum creatinine,FALSE
13,sodium_per_5_units,0.02951728467213869,Serum sodium,FALSE
